year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
2020,ALJUNIED,GRC,"CHAN HUI YUH, CHUA ENG LEONG, VICTOR LYE THIAM FATT, SHAMSUL KAMAR BIN MOHAMED RAZALI, ALEX YEO SHENG CHYE",PAP,57330,40.05
2020,ALJUNIED,GRC,"GERALD GIAM YEAN SONG, SYLVIA LIM, MUHAMAD FAISAL BIN ABDUL MANAP, LEON PERERA, PRITAM SINGH",WP,85815,59.95
2020,ANG MO KIO,GRC,"DARRYL DAVID, GAN THIAM POH, LEE HSIEN LOONG, NADIA AHMAD SAMDIN, NG LING LING",PAP,124597,71.91
2020,ANG MO KIO,GRC,"KENNETH ANDREW JEYARETNAM, NORAINI BTE YUNUS, SOH GUAN SOON, YEO YAO HUI, CHARLES, ZHU LAICHENG",RP,48677,28.09
2020,BISHAN-TOA PAYOH,GRC,"CHEE HONG TAT, CHONG KEE HIONG, NG ENG HEN, SAKTIANDI BIN SUPAAT",PAP,62983,67.23
2020,BISHAN-TOA PAYOH,GRC,"STEVE CHIA, MELVYN CHIU, WILLIIAMSON LEE, OSMAN SULAIMAN",SPP,30696,32.77
2020,BUKIT BATOK,SMC,CHEE SOON JUAN,SDP,12787,45.2
2020,BUKIT BATOK,SMC,MURALI PILLAI,PAP,15500,54.8
2020,BUKIT PANJANG,SMC,LIANG ENG HWA,PAP,18085,53.73
2020,BUKIT PANJANG,SMC,PAUL ANANTH TAMBYAH,SDP,15576,46.27
2020,CHUA CHU KANG,GRC,"ABDUL RAHMAN BIN MOHAMAD, CHOO SHAUN MING, TAN MENG WAH, YUEN KIN PHENG",PSP,42012,41.36
2020,CHUA CHU KANG,GRC,"GAN KIM YONG, LOW YEN LING, DON WEE, ZHULKARNAIN ABDUL RAHIM",PAP,59554,58.64
2020,EAST COAST,GRC,"ABDUL SHARIFF ABOO KASSIM, FOO SECK GUAN, DYLAN NG, NICOLE SEAH, TERENCE TAN LI-CHERN",WP,53375,46.61
2020,EAST COAST,GRC,"CHERYL CHAN WEI LING, HENG SWEE KEAT, MOHD MALIKI BIN OSMAN, TAN KIAT HOW, TAN SOON NEO JESSICA",PAP,61144,53.39
2020,HOLLAND-BUKIT TIMAH,GRC,"MIN CHEONG, JAMES GOMEZ, ALFRED TAN, TAN JEE SAY",SDP,36100,33.64
2020,HOLLAND-BUKIT TIMAH,GRC,"EDWARD CHIA BING HUI, DE SOUZA CHRISTOPHER, SIM ANN, VIVIAN BALAKRISHNAN",PAP,71218,66.36
2020,HONG KAH NORTH,SMC,AMY KHOR LEAN SUAN,PAP,16347,60.99
2020,HONG KAH NORTH,SMC,GIGENE WONG,PSP,10457,39.01
2020,HOUGANG,SMC,LEE HONG CHUANG,PAP,9791,38.79
2020,HOUGANG,SMC,DENNIS TAN LIP FONG,WP,15451,61.21
2020,JALAN BESAR,GRC,"MICHAEL FANG AMIN, LEONG SZE HIAN, LIM TEAN, NOR AZLAN BIN SULAIMAN",PV,34261,34.64
2020,JALAN BESAR,GRC,"HENG CHEE HOW, DENISE PHUA LAY PENG, JOSEPHINE TEO, WAN RIZAL",PAP,64631,65.36
2020,JURONG,GRC,"HUANG WEI ZHONG SHAWN, RAHAYU BINTE MAHZAM, TAN WU MENG, THARMAN SHANMUGARATNAM, XIE YAO QUAN",PAP,91846,74.61
2020,JURONG,GRC,"MICHELLE LEE JUEN, LIYANA DHAMIRAH, RAVI PHILEMON, NICHOLAS TANG, ALEC TOK",RDU,31260,25.39
2020,KEBUN BARU,SMC,KUMARAN PILLAI,PSP,7842,37.08
2020,KEBUN BARU,SMC,KWEK HIAN CHUAN,PAP,13309,62.92
2020,MACPHERSON,SMC,GOH MENG SENG,PPP,7489,28.26
2020,MACPHERSON,SMC,TIN PEI LING,PAP,19009,71.74
2020,MARINE PARADE,GRC,"AZHAR LATIP, FADLI FAWZI, NATHANIEL KOH, RON TAN JUN YEN, YEE JENN JONG",WP,55047,42.26
2020,MARINE PARADE,GRC,"MOHD FAHMI ALIMAN, SEAH KIAN PENG, TAN CHUAN-JIN, TAN SEE LENG, EDWIN TONG CHUN FAI",PAP,75203,57.74
2020,MARSILING-YEW TEE,GRC,"DAMANHURI BIN ABAS, KHUNG WAI YEEN, LIM BOON HENG, BENJAMIN PWEE",SDP,40690,36.82
2020,MARSILING-YEW TEE,GRC,"HANY SOH HUI BIN, LAWRENCE WONG, ALEX YAM ZIMING, ZAQY MOHAMAD",PAP,69813,63.18
2020,MARYMOUNT,SMC,ANG YONG GUAN,PSP,9943,44.96
2020,MARYMOUNT,SMC,GAN SIOW HUANG,PAP,12173,55.04
2020,MOUNTBATTEN,SMC,LIM BIOW CHUAN,PAP,16285,73.82
2020,MOUNTBATTEN,SMC,SIVAKUMARAN CHELLAPPA,PV,5775,26.18
2020,NEE SOON,GRC,"BOWYER BRADLEY PETER, KALAYARASU MANICKAM, MUHAMMAD TAUFIK BIN SUPAN, S NALLAKARUPPAN, TAY CHYE SENG",PSP,53131,38.1
2020,NEE SOON,GRC,"DERRICK GOH SOON HEE, K. SHANMUGAM, MUHAMMAD FAISHAL IBRAHIM, NG KOK KWANG,  LOUIS, CARRIE TAN HUIMIN",PAP,86308,61.9
2020,PASIR RIS-PUNGGOL,GRC,"ABU BIN MOHAMED, HARMINDER PAL SINGH S/O GURCHARAN SINGH, KUSWADI BIN ATNAWI, LIM BAK CHUAN DESMOND, KELVIN ONG SOON HUAT",SDA,37237,23.67
2020,PASIR RIS-PUNGGOL,GRC,"GOH KEOW WAH, LIM KAY CHEOW JIREH, MOHAMED NASSIR ISMAIL, PRABU RAMACHANDRAN, VIGNESWARI VR",PV,19147,12.17
2020,PASIR RIS-PUNGGOL,GRC,"JANIL PUTHUCHEARY, SHARAEL TAHA, DESMOND TAN, TEO CHEE HEAN, YEO WAN LING",PAP,100932,64.16
2020,PIONEER,SMC,CHEANG PENG WAH,-,655,2.78
2020,PIONEER,SMC,LIM CHER HONG,PSP,8289,35.22
2020,PIONEER,SMC,PATRICK TAY TECK GUAN,PAP,14593,62.0
2020,POTONG PASIR,SMC,JOSE RAYMOND,SPP,7302,39.33
2020,POTONG PASIR,SMC,SITOH YIH PIN,PAP,11264,60.67
2020,PUNGGOL WEST,SMC,SUN XUELING,PAP,15655,60.98
2020,PUNGGOL WEST,SMC,TAN CHEN CHEN,WP,10017,39.02
2020,RADIN MAS,SMC,KUMAR APPAVOO,RP,5922,25.99
2020,RADIN MAS,SMC,MELVIN YONG YIK CHYE,PAP,16864,74.01
2020,SEMBAWANG,GRC,"LIM WEE KIAK, MARIAM JAAFAR, ONG YE KUNG, POH LI SAN, VIKRAM NAIR",PAP,94176,67.29
2020,SEMBAWANG,GRC,"NG CHUNG HON, SATHIN S/O RAVINDRAN, SEBASTIAN TEO, YADZETH BIN HAIRIS, YEO TIONG BOON",NSP,45778,32.71
2020,SENGKANG,GRC,"AMRIN AMIN, LAM PIN MIN, LYE HOONG YIP RAYMOND, NG CHEE MENG",PAP,55319,47.88
2020,SENGKANG,GRC,"CHUA KHENG WEE, HE TING RU, JAMUS JEROME LIM, RAEESAH BEGUM BINTE FARID KHAN",WP,60217,52.12
2020,TAMPINES,GRC,"BAEY YAM KENG, CHENG LI HUI, DESMOND CHOO PEY CHING, KOH POH KOON, MASAGOS ZULKIFLI",PAP,94668,66.41
2020,TAMPINES,GRC,"CHOONG HON HENG, FONG CHIN LEONG, MOHD RIDZWAN BIN MOHAMMAD, VINCENT NG KIAN GUAN, YEO REN-YUAN",NSP,47875,33.59
2020,TANJONG PAGAR,GRC,"A'BAS BIN KASMANI, CHUA TECK LEONG, MICHAEL, HARISH PILLAY, LOW WEI LING, SOON JUN WEI, TERENCE",PSP,45807,36.9
2020,TANJONG PAGAR,GRC,"CHAN CHUN SING, ERIC CHUA SWEE LEONG, INDRANEE THURAI RAJAH, JOAN PEREIRA, ALVIN TAN SHENG HUI",PAP,78330,63.1
2020,WEST COAST,GRC,"ANG WEI NENG, FOO MEE HAR, DESMOND LEE TI-SENG, RACHEL ONG SIN YEN, S ISWARAN",PAP,71658,51.68
2020,WEST COAST,GRC,"KHOO POH TIONG JEFFREY, LEONG MUN WAI, N. LOGANATHAN, HAZEL POA, TAN CHENG BOCK",PSP,66996,48.32
2020,YIO CHU KANG,SMC,KAYLA LOW,PSP,9519,39.18
2020,YIO CHU KANG,SMC,YIP HON WENG,PAP,14775,60.82
2020,YUHUA,SMC,GRACE FU HAI YIEN,PAP,14131,70.54
2020,YUHUA,SMC,ROBIN LOW,SDP,5901,29.46
